Year,Birds,Rainfall
1956,2,15.16
1958,2,16.26
1959,10,21.25
1960,4,10.94
1961,10,19.93
1962,12,12.63
1963,10,20.09
1964,8,10.02
1966,17,12.49
1967,7,32.70
1968,44,18.40
1969,50,25.21
1970,26,18.61
1971,10,20.13
1973,7,10.27
1974,1,18.68
1975,38,13.74
1976,92,12.83
1977,113,11.50
1978,81,19.15
1979,79,26.82
1980,72,27.87
1981,84,12.85
1982,67,34.04
1983,43,13.05
1984,52,8.56
1985,67,20.00
1986,55,18.39
1987,42,24.31
1988,36,26.79
1989,32,40.63
1990,98,35.20
1991,116,16.09
1992,107,16.98
1993,129,12.69
1994,240,13.93
1995,294,13.45
1996,348,31.00
1997,210,23.08
1998,131,6.76
1999,106,9.66
2000,138,9.72
2001,132,10.53
2002,73,15.07
2003,92,13.83
